version,account_id,interface_id,src_addr,dst_addr,src_port,dst_port,protocol,protocol_name,packets,bytes,start_time,end_time,timestamp_iso,action,log_status,tier,scenario
2,123456789012,eni-100a_rds_01,10.0.10.45,10.0.100.12,54598,5432,6,TCP,101,176245,1786808311,1786808337,2026-08-15 15:38:31 UTC,ACCEPT,OK,Database,App to RDS PostgreSQL (Allowed by SG)
2,123456789012,eni-10a_app_01,10.0.1.15,10.0.10.45,34572,8080,6,TCP,36,34884,1786808329,1786808363,2026-08-15 15:38:49 UTC,ACCEPT,OK,Application,ALB to App Service
2,123456789012,eni-20b_app_02,10.0.1.15,10.0.20.78,64551,8080,6,TCP,12,15060,1786808342,1786808395,2026-08-15 15:39:02 UTC,ACCEPT,OK,Application,ALB to App Service
2,123456789012,eni-10a_app_01,10.0.2.18,10.0.10.45,50190,8080,6,TCP,26,37544,1786808361,1786808416,2026-08-15 15:39:21 UTC,ACCEPT,OK,Application,ALB to App Service
2,123456789012,eni-01a_alb_01,203.0.113.155,10.0.1.15,54143,443,6,TCP,8,10048,1786808370,1786808399,2026-08-15 15:39:30 UTC,ACCEPT,OK,Public,Public Ingress HTTPS/HTTP
2,123456789012,eni-01a_bas_01,141.98.11.88,10.0.1.200,43250,22,6,TCP,2,128,1786808386,1786808443,2026-08-15 15:39:46 UTC,REJECT,OK,Public,SECURITY ALERT: Unauthorized SSH Attempt (Blocked by SG)
2,123456789012,eni-10a_app_01,185.220.101.5,10.0.10.45,46268,27017,6,TCP,1,44,1786808404,1786808456,2026-08-15 15:40:04 UTC,REJECT,OK,Application,SECURITY ALERT: Port Scanning Reconnaissance (Blocked by NACL/SG)
2,123456789012,eni-100a_rds_01,141.98.11.88,10.0.200.14,62056,27017,6,TCP,2,108,1786808412,1786808451,2026-08-15 15:40:12 UTC,REJECT,OK,Database,SECURITY ALERT: Unauthorized External DB Probe (Blocked by SG)
2,123456789012,eni-01b_alb_02,203.0.113.88,10.0.2.18,45843,80,6,TCP,27,10287,1786808432,1786808462,2026-08-15 15:40:32 UTC,ACCEPT,OK,Public,Public Ingress HTTPS/HTTP
2,123456789012,eni-01a_alb_01,185.220.101.5,10.0.1.15,45860,25,6,TCP,1,44,1786808442,1786808458,2026-08-15 15:40:42 UTC,REJECT,OK,Public,SECURITY ALERT: Port Scanning Reconnaissance (Blocked by NACL/SG)
2,123456789012,eni-01b_alb_02,192.0.2.77,10.0.2.18,51023,80,6,TCP,10,10060,1786808458,1786808508,2026-08-15 15:40:58 UTC,ACCEPT,OK,Public,Public Ingress HTTPS/HTTP
